Length of List, Number Of Sorts, Variance
200,50,0.12092616711892634
200,100,0.044844953485250465
200,150,0.030902980699945147
200,200,0.014154744701596066
200,250,0.015882423937256772
200,300,0.011278745345026955
200,350,0.009433517505124688
200,400,0.008774525246039382
200,450,0.012959623640876045
200,500,0.006286364559951985
200,550,0.007236341098473951
200,600,0.005402828000579078
200,650,0.004910106727111721
200,700,0.004431749548722078
200,750,0.005334161110684877
200,800,0.012223452644917704
200,850,0.007125390589158985
200,900,0.006251219286134429
200,950,0.0041653802144986304
200,1000,0.004915609797288439
200,1050,0.0036195263908900843
200,1100,0.005863000236942868
200,1150,0.003318980562517612
200,1200,0.003943513885922032
200,1250,0.0034712158205965266
200,1300,0.004810572882432396
200,1350,0.0037266493879383206
200,1400,0.0035244670443553825
200,1450,0.002914592628048154
200,1500,0.0026099012181249794
200,1550,0.0028633603592542124
200,1600,0.003380540788461534
200,1650,0.002470442569187165
200,1700,0.0033217725558129826
200,1750,0.002275812088187187
200,1800,0.002229820891321573
200,1850,0.0032832459900563604
200,1900,0.0020972921031580227
200,1950,0.002101953480190075
200,2000,0.002312432816700741
200,2050,0.0019853776957365274
200,2100,0.0018361463828277843
200,2150,0.002580051654485654
200,2200,0.00179898800021726
200,2250,0.003139543859041195
200,2300,0.002669295744751489
200,2350,0.0019015394867879475
200,2400,0.0016663244243575463
200,2450,0.0025722164309958675
200,2500,0.0033456982782200644
400,50,0.14249020115248684
400,100,0.015892992511017924
400,150,0.010392898441129172
400,200,0.00821021282695143
400,250,0.006452667370114835
400,300,0.005841444579574017
400,350,0.005267911671145377
400,400,0.003904213026439586
400,450,0.004214824736379049
400,500,0.003927241097674641
400,550,0.003315979552205153
400,600,0.0038004098329009386
400,650,0.004485397205556318
400,700,0.04143083226818637
400,750,0.017191115512953783
400,800,0.0023779694084770826
400,850,0.0022111477230721227
400,900,0.021487208253085695
400,950,0.019289449991693113
400,1000,0.008439765703215923
400,1050,0.008382802388191621
400,1100,0.003690456836345013
400,1150,0.0058989453250163195
400,1200,0.004497570109834727
400,1250,0.009814846805447546
400,1300,0.012200951125475583
400,1350,0.0033096082056741968
400,1400,0.011972976889583245
400,1450,0.003638193083122589
400,1500,0.00561889024856554
400,1550,0.00662481000732518
400,1600,0.014101647391049904
400,1650,0.009000546705207287
400,1700,0.004242328064210139
400,1750,0.007987402427671783
400,1800,0.00108123225085713
400,1850,0.0172290240632157
400,1900,0.0046638497374605825
400,1950,0.006365070251135021
400,2000,0.015849903862463023
400,2050,0.023856849692799366
400,2100,0.0050714385148116015
400,2150,0.013591285859879487
400,2200,0.007794268932948164
400,2250,0.007365727954049225
400,2300,0.006207816095737013
400,2350,0.00861830635459556
400,2400,0.011909787011746295
400,2450,0.011422498970387069
400,2500,0.013675267932362612
600,50,0.019119163841230497
600,100,0.011544541748449426
600,150,0.008212636655276832
600,200,0.006871694161355659
600,250,0.013948646531175885
600,300,0.015158112664572109
600,350,0.006460294580880818
600,400,0.003914261607523829
600,450,0.0037071655560705417
600,500,0.0033618257917363216
600,550,0.005834424671981707
600,600,0.002846989048462279
600,650,0.002390817178142468
600,700,0.0026023997445167456
600,750,0.0021574385466851557
600,800,0.007783929588936426
600,850,0.0019189650518563507
600,900,0.002637474547187042
600,950,0.005627625892067857
600,1000,0.001881962367323234
600,1050,0.0016530006777915392
600,1100,0.0023107563316129144
600,1150,0.0021770765888730016
600,1200,0.0028645569274683602
600,1250,0.0015011719091433692
600,1300,0.004018615549675867
600,1350,0.001870091633004238
600,1400,0.0016141877444162266
600,1450,0.001165206915653378
600,1500,0.0010561841473416152
600,1550,0.011351912438002048
600,1600,0.001219143474317314
600,1650,0.0037359939111168165
600,1700,0.0010519755366038002
600,1750,0.001072159220897517
600,1800,0.0011359677140855247
600,1850,0.0013007116411841361
600,1900,0.002164412552056616
600,1950,0.0011094472400682994
600,2000,0.000919843810055526
600,2050,0.0010490125425870874
600,2100,0.007025412513340354
600,2150,0.006757284489686653
600,2200,0.003553401670319177
600,2250,0.001235022779262228
600,2300,0.0029164902987046126
600,2350,0.0037482320378607807
600,2400,0.003573154150676562
600,2450,0.0014800735476395727
600,2500,0.003642151679733007
800,50,0.00529155627128104
800,100,0.00611759706327881
800,150,0.002289517505692678
800,200,0.002510948678302926
800,250,0.00922540761254576
800,300,0.0022571651047547272
800,350,0.0015973802068386409
800,400,0.001924758517124378
800,450,0.001423808627799253
800,500,0.0016318116884129483
800,550,0.0027603182153694904
800,600,0.0013187764201271727
800,650,0.00131653626292248
800,700,0.0010596102416942676
800,750,0.005302123517724418
800,800,0.001575815632661811
800,850,0.001563116039053604
800,900,0.0009082811063224343
800,950,0.003672085929843864
800,1000,0.001036627023663655
800,1050,0.001656645782242974
800,1100,0.0010648196408019717
800,1150,0.0008974001715689768
800,1200,0.0007742118933023869
800,1250,0.001004152671003818
800,1300,0.0008338347738089728
800,1350,0.0018569200331842474
800,1400,0.0008838488982492204
800,1450,0.0010035489280435664
800,1500,0.0009377163308302911
800,1550,0.0007317051771982217
800,1600,0.0010779633164447382
800,1650,0.0024197534523860945
800,1700,0.0004465151451834081
800,1750,0.0006966926956418535
800,1800,0.0017278952285086637
800,1850,0.002512247596018659
800,1900,0.0007419216181275563
800,1950,0.0005891777063291189
800,2000,0.0006176673555399652
800,2050,0.0015277105227737935
800,2100,0.0007047101484278916
800,2150,0.0013316279176493837
800,2200,0.0006964620011143169
800,2250,0.0010157526952340348
800,2300,0.001069972664375489
800,2350,0.0009918887951414896
800,2400,0.0005559378773970045
800,2450,0.0006753258262629698
800,2500,0.000507718260019162
1000,50,0.0018565401649496057
1000,100,0.0012857209517953224
1000,150,0.0016939292258251692
1000,200,0.0006747646745924221
1000,250,0.0010000355217577054
1000,300,0.00042245862471159383
1000,350,0.000416364223309677
1000,400,0.0010378551964340124
1000,450,0.0004757634578625076
1000,500,0.00038798196280005504
1000,550,0.000656985941374663
1000,600,0.00042782186286590107
1000,650,0.0003520203298872087
1000,700,0.0006221437964605987
1000,750,0.0002639049824481813
1000,800,0.0005429736949731384
1000,850,0.0004554429282808121
1000,900,0.00031283864573743733
1000,950,0.00033984889674501317
1000,1000,0.0008175078358604657
1000,1050,0.00033560365378685003
1000,1100,0.00048133133673767674
1000,1150,0.00045435977067673206
1000,1200,0.0004781361361149014
1000,1250,0.00030175712407740714
1000,1300,0.000298001212309193
1000,1350,0.0003835750686963535
1000,1400,0.00030427219138235117
1000,1450,0.0005198119642043045
1000,1500,0.00033143318883625486
1000,1550,0.0004645849198520683
1000,1600,0.00043112458590038
1000,1650,0.00029564796150157097
1000,1700,0.0003201018361998388
1000,1750,0.00041688158735494286
1000,1800,0.00019515441985012196
1000,1850,0.00019651593236856552
1000,1900,0.00014067741551454594
1000,1950,0.0003880308491793939
1000,2000,0.00016387138849838638
1000,2050,0.00034397845874678
1000,2100,0.00033245881870665645
1000,2150,0.0002609897968941076
1000,2200,0.0003104840463824833
1000,2250,0.0003240185107469086
1000,2300,0.00017835893833977534
1000,2350,0.00037347426670158865
1000,2400,0.00038118537474167744
1000,2450,0.00043384832497705614
1000,2500,0.0003243814550143146
1200,50,0.0011859363185128418
1200,100,0.0007417655048337283
1200,150,0.0009426961875350734
1200,200,0.0005072098207201957
1200,250,0.0008737959616663093
1200,300,0.0005771609456556891
1200,350,0.0005635613080049449
1200,400,0.0009888086857473906
1200,450,0.00030516117907184966
1200,500,0.0003675668133814415
1200,550,0.0007156983948835263
1200,600,0.0006802051549160592
1200,650,0.00036370323570507704
1200,700,0.0006886678977540093
1200,750,0.0005162977006947583
1200,800,0.0007883932815123516
1200,850,0.0005563358815444136
1200,900,0.0009337176471486104
1200,950,0.0004220699102736012
1200,1000,0.0005010536454006602
1200,1050,0.0005044476735996382
1200,1100,0.00040896614711398026
1200,1150,0.00040285897590487067
1200,1200,0.0007168808326230498
1200,1250,0.0005337895274777255
1200,1300,0.0005959139345612086
1200,1350,0.00019907498153078413
1200,1400,0.0004004452588826395
1200,1450,0.0005392338793282579
1200,1500,0.00040477698816186877
1200,1550,0.0003428063559175307
1200,1600,0.0002569841246610366
1200,1650,0.00032852109455902133
1200,1700,0.00044453381882802366
1200,1750,0.00033710971495296374
1200,1800,0.00036151495228509524
1200,1850,0.0003697481402560209
1200,1900,0.00032165744436988853
1200,1950,0.00027995346527991995
1200,2000,0.00023742479341281133
1200,2050,0.00043581959752882795
1200,2100,0.00022824842835816983
1200,2150,0.0002112534644592129
1200,2200,0.00048143685553247485
1200,2250,0.0003100998900814219
1200,2300,0.00019959126353956
1200,2350,0.00020398975211906054
1200,2400,0.00021248454688504306
1200,2450,0.0001773004729509267
1200,2500,0.00038093128728553823
1400,50,0.0007568525968481354
1400,100,0.0019130338347394767
1400,150,0.0006775001780595914
1400,200,0.0005723384663341301
1400,250,0.0010497931432223787
1400,300,0.0002349328026459907
1400,350,0.0008443653539815852
1400,400,0.0010180219625283786
1400,450,0.00018930031378988933
1400,500,0.0008864496542380016
1400,550,0.0006119250785987955
1400,600,0.00058922825454013
1400,650,0.0005987167261100405
1400,700,0.00035189100353961376
1400,750,0.0011928926662883414
1400,800,0.001715117704577452
1400,850,0.0007276766054676042
1400,900,0.0013446497097033448
1400,950,0.00042954674672148537
1400,1000,0.0005605256438425538
1400,1050,0.00022769054824616942
1400,1100,0.0005286614095314393
1400,1150,0.000996924764797606
1400,1200,0.0008725900481042647
1400,1250,0.0010086042296935016
1400,1300,0.0005452773599924414
1400,1350,0.00039712477559594977
1400,1400,0.000978770480150889
1400,1450,0.000683950613089291
1400,1500,0.0005242057058457372
1400,1550,0.0008032198506283564
1400,1600,0.0005779091490750865
1400,1650,0.0005077864416559311
1400,1700,0.0003126980744485755
1400,1750,0.0002887984307279944
1400,1800,0.0008109956283651103
1400,1850,0.0005818240842666232
1400,1900,0.00022594760021124398
1400,1950,0.0003930793923938591
1400,2000,0.0005005185088456617
1400,2050,0.0004683948879228742
1400,2100,0.00038840804761693624
1400,2150,0.0006301889881569565
1400,2200,0.00045434518999675367
1400,2250,0.0004314223337729632
1400,2300,0.0005426646337545977
1400,2350,0.0006009153559497089
1400,2400,0.00034195550656903153
1400,2450,0.0005546593804246154
1400,2500,0.0006039709609965784
1600,50,0.002856400814270804
1600,100,0.0017319904320847233
1600,150,0.00024054801501863698
1600,200,0.0012251696474072458
1600,250,0.0011007312677997092
1600,300,0.0005576846196765565
1600,350,0.00044061702784189196
1600,400,0.00010132779355250494
1600,450,0.0005900585088511384
1600,500,0.0005185403713795734
1600,550,0.00029400231799047626
1600,600,0.0002464919256900429
1600,650,0.00022927065837440255
1600,700,0.00038990351527062563
1600,750,0.000702759566924054
1600,800,0.0004693442861845054
1600,850,0.0005149131143615349
1600,900,0.0005001148723403858
1600,950,0.0004678480719410164
1600,1000,0.00020947723520818871
1600,1050,0.00033075407149439997
1600,1100,0.0003289545829083069
1600,1150,0.0006416238321740864
1600,1200,0.0002612805846769598
1600,1250,0.0003189780101998491
1600,1300,0.00029271244512555863
1600,1350,0.00031924716840142555
1600,1400,0.00032117868188034015
1600,1450,0.0003383022017432763
1600,1500,0.00022845358635522565
1600,1550,0.00036385492875238337
1600,1600,0.00018418628905733953
1600,1650,0.00028532730721702096
1600,1700,0.0003290362680661702
1600,1750,0.00018860632849953738
1600,1800,0.0004251134609101611
1600,1850,0.0002745299705752542
1600,1900,0.000313717332253578
1600,1950,0.0002762929930552002
1600,2000,0.0003314930084557355
1600,2050,0.00029294235136749904
1600,2100,0.0002863692585401817
1600,2150,0.0003533120290273768
1600,2200,0.00030938556682650096
1600,2250,0.0002744067897920006
1600,2300,0.0003479993795503852
1600,2350,0.00041823695993511355
1600,2400,0.0002828416569724733
1600,2450,0.00026560829810223487
1600,2500,0.00025138807307267265
1800,50,0.0004119796847716879
1800,100,0.00030229945236606677
1800,150,0.00023205220006364692
1800,200,0.0011985597840633649
1800,250,0.0012963974069509132
1800,300,0.00039936789845111865
1800,350,0.000911494962549881
1800,400,0.0006090648877544193
1800,450,0.0005840786540937035
1800,500,0.0003283637605300854
1800,550,0.00025216931493482773
1800,600,0.0005572311405216819
1800,650,0.0005123639266535178
1800,700,0.000857417917646793
1800,750,0.0006181907922465695
1800,800,0.00034820425594052953
1800,850,0.0004514955654317565
1800,900,0.000521036737078226
1800,950,0.0005164691016076582
1800,1000,0.0007355790313076242
1800,1050,0.0004320126569267719
1800,1100,0.0006340946117108162
1800,1150,0.0007539115348833668
1800,1200,0.0005923801651696808
1800,1250,0.0005939429758237114
1800,1300,0.000526433733329225
1800,1350,0.0004150450532052195
1800,1400,0.00040552489646488343
1800,1450,0.0005388142718491843
1800,1500,0.0003538452921078065
1800,1550,0.00046479237627180587
1800,1600,0.00020099228038792839
1800,1650,0.0005008913727845299
1800,1700,0.00035498200425308166
1800,1750,0.00024782932891621493
1800,1800,0.0005955769926200649
1800,1850,0.0004643366891976961
1800,1900,0.0006580288017165377
1800,1950,0.0005247906042179281
1800,2000,0.00038142083795246603
1800,2050,0.00034407559959029197
1800,2100,0.000547042348982413
1800,2150,0.0003353703069835844
1800,2200,0.00041342754559967813
1800,2250,0.0004973921674606365
1800,2300,0.0004222541515048368
1800,2350,0.00021661242437955226
1800,2400,0.0003013556559310037
1800,2450,0.00016463390045410496
1800,2500,0.000272106766611218
2000,50,0.0005492773524814042
2000,100,0.0009907395706119022
2000,150,0.0008756464038875095
2000,200,0.0007009234787082125
2000,250,0.0005087339493131867
2000,300,0.00010498897006180445
2000,350,0.0005583121206614007
2000,400,0.0002877771060944495
2000,450,0.00039770569291965415
2000,500,0.0005715210157069947
2000,550,0.0006585938168464893
2000,600,0.00022762487638133683
2000,650,0.0004594191770510637
2000,700,0.0006362546764339011
2000,750,0.00033904479955301336
2000,800,0.000335095321464631
2000,850,0.000439866921346981
2000,900,0.00040069907258409907
2000,950,0.0005175587875628011
2000,1000,0.0004305168916946076
2000,1050,0.00019578960525583355
2000,1100,0.00036727451520747424
2000,1150,0.0006602040958327172
2000,1200,0.0005287278957385644
2000,1250,0.0004842205710251721
2000,1300,0.0005242666904784988
2000,1350,0.00024938745945320124
2000,1400,0.0005095461161329294
2000,1450,0.0005096712999177192
2000,1500,0.00044452676123431245
2000,1550,0.00019396221919764406
2000,1600,0.0003109080724848629
2000,1650,0.0005685797300141839
2000,1700,0.00044398661748778974
2000,1750,0.0002071420548660589
2000,1800,0.00037775357731540624
