Length of List, Number Of Sorts, Variance
200,50,563446.7671873274
200,100,175775.94891338306
200,150,120811.43276718061
200,200,55766.14003961938
200,250,63030.37397560511
200,300,44875.950473289755
200,350,37229.60423527979
200,400,34975.30932275769
200,450,52379.705259013295
200,500,24899.129193088927
200,550,28691.578423281135
200,600,21422.670570532842
200,650,19485.84174678436
200,700,17650.93928095892
200,750,21123.449968802914
200,800,48702.13435716459
200,850,28298.494849137096
200,900,24905.65387340632
200,950,16568.324126449155
200,1000,19656.034808812954
200,1050,14424.420127261024
200,1100,23369.226340767993
200,1150,13212.135621879257
200,1200,15675.75399867941
200,1250,13854.217878145218
200,1300,19276.283175123717
200,1350,14829.8655957587
200,1400,14038.84895206347
200,1450,11605.940400281379
200,1500,10363.462354104795
200,1550,11384.06417425863
200,1600,13492.79627487687
200,1650,9826.351651713438
200,1700,13191.070661081962
200,1750,9044.6697691617
200,1800,8869.967263167213
200,1850,13101.93488989761
200,1900,8357.10249876463
200,1950,8343.652973610277
200,2000,9243.31189736975
200,2050,7893.479854813296
200,2100,7296.601149291709
200,2150,10271.198203124495
200,2200,7166.5885514933225
200,2250,12566.483763861605
200,2300,10687.605226147582
200,2350,7565.121079021668
200,2400,6669.414323600222
200,2450,10270.655567046315
200,2500,13476.278711917543
400,50,3034205.0818156097
400,100,252356.19034019008
400,150,167946.20719395444
400,200,133499.2073331775
400,250,104271.14843775985
400,300,95362.65176509306
400,350,85271.22053868309
400,400,63887.35694673648
400,450,68801.40099028165
400,500,64208.46142152256
400,550,54249.39124698388
400,600,62340.423918948756
400,650,73734.48160460526
400,700,737182.5097257429
400,750,291736.1240629523
400,800,39190.601005973105
400,850,36629.66883613789
400,900,368157.5918416228
400,950,328994.47248231503
400,1000,140996.64639369672
400,1050,139655.4810727892
400,1100,61147.39564480695
400,1150,98773.12773819402
400,1200,74706.59396384527
400,1250,165022.62903617584
400,1300,205625.7067863146
400,1350,55135.900273599924
400,1400,202399.04392335447
400,1450,60765.1791582277
400,1500,94102.19809841733
400,1550,111072.47657523947
400,1600,239221.38053934908
400,1650,151173.4579255148
400,1700,70674.46659567881
400,1750,134089.13037567475
400,1800,17947.54360874058
400,1850,293790.1639565161
400,1900,78048.77600725845
400,1950,107015.65585789355
400,2000,270757.8311956591
400,2050,413161.0276268956
400,2100,84592.86587766507
400,2150,230600.12339473126
400,2200,130933.16514654696
400,2250,123438.67677536342
400,2300,103852.27499754247
400,2350,145652.83274685996
400,2400,201516.3845513522
400,2450,193977.56818101378
400,2500,232328.30816863614
600,50,860254.5103647036
600,100,524564.4164150604
600,150,377499.74764092086
600,200,315014.442173554
600,250,649157.6709922764
600,300,723247.8053942661
600,350,302821.2353535454
600,400,181228.7134727679
600,450,172512.61515436287
600,500,154995.76256378012
600,550,273435.52640305855
600,600,132127.4575356808
600,650,110766.04509652352
600,700,121048.15641720146
600,750,99981.86965201279
600,800,364472.5358615022
600,850,89225.87059472132
600,900,122982.56433777089
600,950,262626.980020318
600,1000,87464.69186264984
600,1050,77043.11689654663
600,1100,107851.00122151265
600,1150,101449.11639083964
600,1200,133696.19225810064
600,1250,70090.65947759822
600,1300,188311.072066964
600,1350,87274.37468632856
600,1400,75319.45476410977
600,1450,54228.67023683803
600,1500,49257.920865693835
600,1550,540179.8211207782
600,1600,56660.265540650806
600,1650,174201.15986751352
600,1700,48757.625738000024
600,1750,49795.02022809092
600,1800,52796.843100718164
600,1850,60574.50579414849
600,1900,101134.82484509001
600,1950,51630.29713438669
600,2000,42823.73939518717
600,2050,48912.831896378586
600,2100,331162.5110827434
600,2150,318326.8639349717
600,2200,167531.06806567396
600,2250,57596.4829141066
600,2300,136309.1266914847
600,2350,175809.0479193024
600,2400,166989.25991829086
600,2450,69278.95961683583
600,2500,170599.88602757495
800,50,1284112.8153805425
800,100,1533182.9461314634
800,150,561099.8219954121
800,200,620991.5749430856
800,250,2311268.5493132775
800,300,559597.6464865839
800,350,394705.8160114162
800,400,477611.84011878783
800,450,351915.3966186285
800,500,404708.0346912771
800,550,687980.9911983793
800,600,328044.5207397006
800,650,327178.79459906305
800,700,262446.8029534061
800,750,1333347.2944783794
800,800,393238.45674527995
800,850,389739.4898778031
800,900,225384.05172667612
800,950,921313.1528235872
800,1000,257119.62405077048
800,1050,414504.1664310242
800,1100,263932.5694565118
800,1150,223238.59328999135
800,1200,192418.6810988086
800,1250,250266.86545651383
800,1300,207588.74974594574
800,1350,462377.1411367002
800,1400,220184.52641927422
800,1450,249975.55453275723
800,1500,234205.2889405507
800,1550,182295.78737532822
800,1600,268338.1480305486
800,1650,604328.6105012323
800,1700,110868.35972904511
800,1750,172914.06339848303
800,1800,430911.77811671264
800,1850,629753.1266467774
800,1900,184774.98575122608
800,1950,146398.17915994365
800,2000,153755.3400762778
800,2050,380403.3842287712
800,2100,175464.9357105609
800,2150,331982.6331430886
800,2200,173639.3788760763
800,2250,253553.56004927092
800,2300,266423.95368142496
800,2350,247724.26465012907
800,2400,138480.77863995184
800,2450,168508.93176298297
800,2500,126222.61983775164
1000,50,1526690.346384748
1000,100,1080850.1844343839
1000,150,1441414.3249051333
1000,200,569714.1263941338
1000,250,850295.8663303807
1000,300,358540.12255309976
1000,350,352399.35952911474
1000,400,886961.2073645401
1000,450,405860.8472626323
1000,500,331102.1185893613
1000,550,562678.2991245985
1000,600,364305.27781615173
1000,650,300514.2649751118
1000,700,533344.2275950811
1000,750,224654.6349152188
1000,800,465424.82689094153
1000,850,390653.53790298064
1000,900,267080.451646101
1000,950,290231.4491937012
1000,1000,702577.8754047531
1000,1050,286409.2416377258
1000,1100,412477.219078498
1000,1150,388923.52339027537
1000,1200,409145.8580077987
1000,1250,258050.42384277508
1000,1300,254754.14974907832
1000,1350,328049.23497378384
1000,1400,260051.15102096647
1000,1450,446393.53661958134
1000,1500,283227.79988660244
1000,1550,398183.543697261
1000,1600,369459.9279999522
1000,1650,252745.98274695544
1000,1700,273576.9194635159
1000,1750,357132.32497361087
1000,1800,166913.93369577022
1000,1850,167869.88709385993
1000,1900,120159.93815125513
1000,1950,332744.3058084089
1000,2000,140123.25224538406
1000,2050,294489.87940832746
1000,2100,284724.08272373123
1000,2150,223601.60245054465
1000,2200,265925.30070007197
1000,2250,277671.7568754609
1000,2300,152303.04557432616
1000,2350,320254.64484945126
1000,2400,327157.73875825474
1000,2450,371640.1913331159
1000,2500,278184.1152644577
1200,50,1978121.2822830258
1200,100,1273137.4643813376
1200,150,1625427.8875502432
1200,200,880561.1151795678
1200,250,1517758.3706101575
1200,300,1001023.4410803509
1200,350,978520.698663961
1200,400,1726981.0987656354
1200,450,530893.7326122458
1200,500,639996.0011499117
1200,550,1249110.1403384479
1200,600,1187435.4715600305
1200,650,632888.7624567904
1200,700,1203775.3658842857
1200,750,902192.3535330758
1200,800,1381641.0629007274
1200,850,973133.0363672199
1200,900,1641467.1608331166
1200,950,736827.6105548354
1200,1000,876018.8565529066
1200,1050,881913.8748884108
1200,1100,713942.0114363587
1200,1150,703352.9161068975
1200,1200,1255801.5053854457
1200,1250,933409.2211459277
1200,1300,1044475.7570940126
1200,1350,346806.59035744594
1200,1400,699264.4065610069
1200,1450,945055.1931402435
1200,1500,708634.5041227255
1200,1550,598350.174257927
1200,1600,448293.3506177672
1200,1650,573612.4259160729
1200,1700,777236.0475126251
1200,1750,589540.5939230353
1200,1800,631483.3118164924
1200,1850,646049.0801327397
1200,1900,562862.1344976566
1200,1950,488612.4489285581
1200,2000,413917.7737347932
1200,2050,762366.9258511321
1200,2100,397927.13105662644
1200,2150,368863.24442171404
1200,2200,843696.7278033973
1200,2250,541919.9082172584
1200,2300,348680.0624434666
1200,2350,356129.76468178746
1200,2400,370775.59822983027
1200,2450,309585.60857069766
1200,2500,666840.6099209709
1400,50,2054002.3752837407
1400,100,5372901.698308736
1400,150,1891673.4922177678
1400,200,1603070.5092979947
1400,250,2967815.891234808
1400,300,660300.8478331587
1400,350,2388722.159862694
1400,400,2880905.9844441344
1400,450,532584.1151426228
1400,500,2515621.0272912118
1400,550,1735161.467449569
1400,600,1669547.3197042786
1400,650,1697449.1110624548
1400,700,994739.0467823124
1400,750,3401810.542703083
1400,800,4912499.805573704
1400,850,2066237.9204642014
1400,900,3841049.667418751
1400,950,1216453.8768504055
1400,1000,1590349.216477317
1400,1050,644550.2309698227
1400,1100,1499481.4497414003
1400,1150,2845037.292408989
1400,1200,2483111.964622557
1400,1250,2877998.0676025124
1400,1300,1549247.6187254197
1400,1350,1126857.0577079582
1400,1400,2793619.2020121594
1400,1450,1946312.2700440665
1400,1500,1488456.584893885
1400,1550,2286413.9292336283
1400,1600,1642640.7634726916
1400,1650,1442067.3710186274
1400,1700,885828.4815081583
1400,1750,817920.0646488194
