Length of List, Number Of Sorts, Variance
200,50,1408616917.9683192
200,100,1757759489.133831
200,150,2718257237.2615643
200,200,2230645601.584775
200,250,3939398373.4753184
200,300,4038835542.596079
200,350,4560626518.821775
200,400,5596049491.641231
200,450,10606890314.950191
200,500,6224782298.27223
200,550,8679202473.042543
200,600,7712161405.391824
200,650,8232768138.016391
200,700,8648960247.66987
200,750,11881940607.451641
200,800,31169365988.585342
200,850,20445662528.501556
200,900,20173579637.459118
200,950,14952912524.120363
200,1000,19656034808.81295
200,1050,15902923190.305277
200,1100,28276763872.329277
200,1150,17473049359.935318
200,1200,22573085758.09835
200,1250,21647215434.601902
200,1300,32576918565.959084
200,1350,27027430048.27023
200,1400,27516143946.044395
200,1450,24401489691.591602
200,1500,23317790296.73579
200,1550,27350214178.65636
200,1600,34541558463.68479
200,1650,26752242371.789833
200,1700,38122194210.52688
200,1750,27699301168.057713
200,1800,28738693932.661774
200,1850,44841372160.67457
200,1900,30169140020.540318
200,1950,31726740432.15308
200,2000,36973247589.47898
200,2050,33172349089.852867
200,2100,32178011068.37643
200,2150,47478613693.94297
200,2200,34686288589.22768
200,2250,63617824054.54938
200,2300,56537431646.3207
200,2350,41778381158.89716
200,2400,38415826503.93728
200,2450,61649610041.1955
200,2500,84226741949.48462
400,50,7585512704.539024
400,100,2523561903.4018993
400,150,3778789661.8639746
400,200,5339968293.3271
400,250,6516946777.359991
400,300,8582638658.858375
400,350,10445724515.98868
400,400,10221977111.477837
400,450,13932283700.532032
400,500,16052115355.380638
400,550,16410440852.212626
400,600,22442552610.821556
400,650,31152818477.94573
400,700,361219429765.61395
400,750,164101569785.41064
400,800,25081984643.82279
400,850,26464935734.10963
400,900,298207649391.71436
400,950,296917511415.2894
400,1000,140996646393.69672
400,1050,153970167882.7501
400,1100,73988348730.2164
400,1150,130627461433.7616
400,1200,107577495307.9372
400,1250,257847857869.02478
400,1300,347507444468.8717
400,1350,100485178248.63585
400,1400,396702126089.77484
400,1450,127758789180.17369
400,1500,211729945721.43896
400,1550,266851624972.01288
400,1600,612406734180.7336
400,1650,411569739202.2139
400,1700,204249208461.51178
400,1750,410647961775.504
400,1800,58150041292.31948
400,1850,1005496836141.176
400,1900,281756081386.203
400,1950,406927031399.64014
400,2000,1083031324782.6362
400,2050,1736309218602.029
400,2100,373054538520.503
400,2150,1065949070392.1454
400,2200,633716519309.2872
400,2250,624908301175.2771
400,2300,549378534736.99963
400,2350,804367768844.5343
400,2400,1160734375015.7886
400,2450,1164350353006.535
400,2500,1452051926053.976
600,50,2150636275.9117594
600,100,5245644164.150604
600,150,8493744321.92072
600,200,12600577686.94216
600,250,40572354437.017265
600,300,65092302485.483955
600,350,37095601330.80931
600,400,28996594155.642868
600,450,34933804568.75848
600,500,38748940640.94502
600,550,82714246736.92519
600,600,47565884712.845085
600,650,46798654053.281204
600,700,59313596644.42871
600,750,56239801679.257195
600,800,233262422951.36145
600,850,64465691504.68616
600,900,99615877113.59442
600,950,237020849468.33704
600,1000,87464691862.64983
600,1050,84940036378.44266
600,1100,130499711478.0303
600,1150,134166456426.88544
600,1200,192522516851.66495
600,1250,109516655433.74722
600,1300,318245711793.1691
600,1350,159057547865.8338
600,1400,147626131337.65515
600,1450,114015779172.95197
600,1500,110830321947.81113
600,1550,1297782020242.6697
600,1600,145050279784.06604
600,1650,474262657739.3055
600,1700,140909538382.82007
600,1750,152497249448.52844
600,1800,171061771646.32684
600,1850,207316246080.4732
600,1900,365096717690.775
600,1950,196324204853.50537
600,2000,171294957580.7487
600,2050,205556176044.53098
600,2100,1460426673874.898
600,2150,1471465928539.407
600,2200,810850369437.8618
600,2250,291582194752.66473
600,2300,721075280197.9541
600,2350,970905467134.3474
600,2400,961858137129.3555
600,2450,415846955100.0571
600,2500,1066249287672.3435
800,50,3210282038.4513564
